ID,MEDCAUSE,COUNTY,CITY,ACC_DATE,ACCYR,MONTH,WEEKDAY,TIME,TOT_KILL,TOT_INJ,NO_PEDS,NUMVEHS,ROUTE_ID,MILEPOST,ST_FUNC,RUR_URB,V1CMPDIR,V1EVENT1,V1DIRCDE,ACCTYPE,V2CMPDIR,V2EVENT1,V2DIRCDE,SEVERITY,OBJECT1,OBJECT2,LOC_TYPE,RDSURF,LIGHT,LOC_CHAR,WKZONE,ALCFLAG,RODWYCLS,CITY_NAME,ACCESS_CONTROL,LANE_COUNT,MEDIAN_WIDTH,MEDIAN_BARRIER,ROAD_WIDTH,RIGHT_SHOULDER_WIDTH,LEFT_SHOULDER_SURFACE,LEFT_SHOULDER_WIDTH,SPECIAL_USE_LANE_ROAD_SIDE,SPEED_LIMIT,LANE_SURFACE_TYPE,TOTAL_AADT,DIVIDED_INDICATOR,SEATPOS_0,AGE_0,SEX_0,REST1_0,HELMET_0,DRASSESS_1,CONTRIB1_1,CONTRIB2_1,VEH_USE_1,DRV_ACTN_1,VEHCOND1_1,VEHCOND2_1,VEHCOND3_1,INTER_A_1,CMAXLES_1,DRAIRBAG_1,DRV_EJCT_1,SEATPOS_1,AGE_1,SEX_1,REST1_1,HELMET_1,DRASSESS_2,CONTRIB1_2,CONTRIB2_2,VEH_USE_2,DRV_ACTN_2,VEHCOND1_2,VEHCOND2_2,VEHCOND3_2,INTER_A_2,CMAXLES_2,DRAIRBAG_2,DRV_EJCT_2,SEATPOS_2,AGE_2,SEX_2,REST1_2,HELMET_2,DRASSESS_3,CONTRIB1_3,CONTRIB2_3,VEH_USE_3,DRV_ACTN_3,VEHCOND1_3,VEHCOND2_3,VEHCOND3_3,INTER_A_3,CMAXLES_3,DRAIRBAG_3,DRV_EJCT_3,ROUTE_MILEPOST
EC68713,0,17,75,9,2022,7,7,1600,0,1,0,2,78,3.57,0,0,1,6,1,4,1,3,0,3,-1,-1,4,0,0,-1,-1,0,1,76,3,4,0,-1,48,0,-1,0,2,35,1,26000,0,0,30.0,2,0,3,2,5,0,0,12,0,0,0,0,0,0,0,0,61.0,1,1,1,2,0,0,2,5,0,0,0,0,0,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78003.57
EC34633,0,8,30,31,2022,3,5,1500,0,0,0,2,6,0.42,1,0,0,1,0,0,0,3,0,1,-1,-1,0,0,0,-1,-1,0,0,29,-1,1,0,-1,15,8,1,7,0,0,1,0,0,0,68.0,1,0,0,2,8,0,1,1,0,0,0,0,0,0,0,0,64.0,0,1,2,2,0,0,2,4,0,0,0,0,0,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000.42
EC45310,0,8,-1,27,2022,4,4,1700,0,0,0,2,41,21.51,0,0,0,2,0,1,7,3,2,1,-1,-1,1,0,0,-1,-1,0,1,-1,1,4,0,-1,96,0,-1,0,0,45,1,41000,0,0,18.0,1,0,0,2,0,0,0,3,0,0,0,0,0,0,0,1,18.0,1,1,2,2,0,0,2,5,0,0,0,0,0,1,1,1,67.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,41021.51
EC29396,0,17,36,10,2022,3,5,1300,0,0,0,2,63,0.6900000000000001,0,0,5,1,1,2,1,5,2,1,-1,-1,0,0,0,-1,-1,0,1,36,2,4,0,-1,57,0,-1,0,0,30,1,13000,0,0,61.0,1,0,0,2,8,0,0,1,0,0,0,0,0,0,0,0,,2,0,2,0,0,0,2,12,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63000.69
EC69181,0,9,-1,29,2022,7,6,1600,0,0,0,3,161,5.0,5,1,7,1,1,0,8,2,2,1,-1,-1,0,0,0,-1,-1,0,7,-1,4,2,0,-1,22,8,-1,0,0,55,3,3000,0,0,32.0,2,0,0,0,2,0,1,1,0,0,0,0,0,0,0,1,35.0,1,1,2,0,0,0,2,3,0,0,0,0,0,0,0,1,36.0,1,1,0,0,0,0,1,3,1,0,0,0,0,1,1,161005.0
EC26689,0,17,-1,4,2022,3,6,1100,0,1,0,2,91,8.22,4,1,0,1,3,1,5,3,2,2,-1,-1,1,0,0,-1,-1,0,7,-1,5,2,0,-1,24,8,-1,0,0,55,1,18000,0,0,19.0,1,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,64.0,0,1,2,2,0,0,2,5,0,0,0,0,0,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91008.22
EC39520,0,2,-1,17,2022,4,1,1200,0,1,0,2,86,5.01,3,1,4,1,3,0,4,2,4,2,-1,-1,1,0,0,-1,-1,0,7,-1,4,2,0,-1,22,6,-1,0,0,50,1,5900,0,0,22.0,1,0,3,2,2,0,1,1,0,0,0,0,0,0,0,0,54.0,1,1,1,2,0,0,1,2,0,0,0,0,0,1,1,2,53.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,86005.01
EC23107,0,17,67,24,2022,2,5,700,0,0,0,2,98,2.72,2,0,5,1,0,9,5,3,2,1,-1,-1,0,3,0,-1,-1,0,1,68,1,4,0,-1,64,0,-1,0,0,45,1,16000,0,0,67.0,1,0,0,2,6,0,0,1,0,0,0,0,0,0,0,0,39.0,1,1,2,2,0,0,1,5,0,0,0,0,0,5,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98002.72
EC35015,0,0,2,7,2022,4,5,1100,0,1,0,2,4,12.33,1,0,0,1,0,0,0,3,0,2,-1,-1,0,0,0,-1,-1,0,5,2,0,8,155,6,96,10,1,6,3,60,1,185000,1,0,19.0,1,6,0,2,3,0,1,1,0,0,0,0,0,1,0,1,19.0,0,1,2,2,0,0,1,4,0,0,0,0,0,1,1,1,65.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4012.33
EC43139,0,0,83,24,2022,4,1,2200,0,0,0,2,58,8.06,0,0,2,1,0,0,2,3,0,1,-1,-1,0,0,1,-1,-1,0,1,87,2,5,0,-1,76,0,-1,0,1,45,1,60000,0,0,20.0,2,0,0,2,22,0,1,1,0,0,0,0,0,0,0,0,23.0,0,1,2,2,0,0,2,5,0,0,0,0,0,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58008.06
EC14477,0,17,67,25,2022,1,3,800,0,1,0,3,98,0.36,2,0,5,1,0,4,0,3,4,3,-1,-1,1,0,0,-1,-1,0,1,68,3,4,0,-1,60,0,-1,0,0,25,1,22000,0,0,25.0,0,2,0,0,34,0,0,1,0,0,0,0,0,1,0,1,21.0,0,3,2,0,0,0,2,5,0,0,0,0,0,4,1,1,38.0,0,3,0,0,0,0,0,7,1,0,0,0,0,1,1,98000.36
EC40259,0,8,25,21,2022,4,5,600,0,0,0,2,39,0.33,0,0,1,4,1,2,5,3,2,1,-1,-1,0,1,0,-1,-1,0,5,56,0,6,4,1,72,10,-1,0,1,60,1,107000,1,0,29.0,1,0,0,0,7,0,1,0,0,0,0,0,0,0,0,1,29.0,1,1,2,0,0,0,2,5,0,0,0,0,0,1,1,1,66.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,39000.33
EC32086,0,8,-1,19,2022,3,7,1700,0,1,0,1,49,12.08,2,0,3,1,0,6,6,4,3,2,1,-1,0,0,0,-1,-1,0,3,-1,1,2,0,-1,24,4,-1,0,0,50,1,8700,0,0,42.0,1,0,0,0,3,0,1,1,0,0,0,0,0,0,0,2,,2,0,2,0,0,0,2,6,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49012.08
