Unnamed: 0,MEDCAUSE,COUNTY,CITY,ACC_DATE,ACCYR,MONTH,WEEKDAY,TIME,TOT_KILL,TOT_INJ,NO_PEDS,NUMVEHS,ROUTE_ID,MILEPOST,ST_FUNC,RUR_URB,V1CMPDIR,V1EVENT1,V1DIRCDE,ACCTYPE,V2CMPDIR,V2EVENT1,V2DIRCDE,SEVERITY,OBJECT1,OBJECT2,LOC_TYPE,RDSURF,LIGHT,LOC_CHAR,WKZONE,ALCFLAG,RODWYCLS,CITY_NAME,ACCESS_CONTROL,LANE_COUNT,MEDIAN_WIDTH,MEDIAN_BARRIER,ROAD_WIDTH,RIGHT_SHOULDER_WIDTH,LEFT_SHOULDER_SURFACE,LEFT_SHOULDER_WIDTH,SPECIAL_USE_LANE_ROAD_SIDE,SPEED_LIMIT,LANE_SURFACE_TYPE,TOTAL_AADT,DIVIDED_INDICATOR,SEATPOS_0,AGE_0,SEX_0,REST1_0,HELMET_0,DRASSESS_1,CONTRIB1_1,CONTRIB2_1,VEH_USE_1,DRV_ACTN_1,VEHCOND1_1,VEHCOND2_1,VEHCOND3_1,INTER_A_1,CMAXLES_1,DRAIRBAG_1,DRV_EJCT_1,SEATPOS_1,AGE_1,SEX_1,REST1_1,HELMET_1,DRASSESS_2,CONTRIB1_2,CONTRIB2_2,VEH_USE_2,DRV_ACTN_2,VEHCOND1_2,VEHCOND2_2,VEHCOND3_2,INTER_A_2,CMAXLES_2,DRAIRBAG_2,DRV_EJCT_2,SEATPOS_2,AGE_2,SEX_2,REST1_2,HELMET_2,DRASSESS_3,CONTRIB1_3,CONTRIB2_3,VEH_USE_3,DRV_ACTN_3,VEHCOND1_3,VEHCOND2_3,VEHCOND3_3,INTER_A_3,CMAXLES_3,DRAIRBAG_3,DRV_EJCT_3,ROUTE_MILEPOST
3873153,0,0,7,21,2022,8,1,1800,0,0,0,2,18,3.57,0,0,4,1,1,0,4,2,2,1,-1,-1,1,0,0,-1,-1,0,5,7,5,4,16,2,48,10,-1,0,0,55,1,28000,1,0,37.90904855092722,-1,2,-1,-1,7,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,46.0,0,0,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,3,0,-1,36.519301595962354,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18003.57
3888061,0,0,0,26,2022,8,6,100,0,0,0,2,2,1.92,0,0,0,1,3,0,0,2,4,1,-1,-1,1,0,-1,-1,-1,0,1,0,1,4,0,-1,64,0,-1,0,0,30,1,20000,0,0,16.0,0,0,-1,-1,2,-1,0,1,0,-1,-1,-1,-1,-1,0,0,64.0,0,0,-1,-1,-1,-1,1,2,0,-1,-1,-1,-1,-1,0,-1,36.519301595962354,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2001.92
3890592,0,0,0,11,2022,8,5,1900,0,2,0,2,27,0.07,0,0,6,1,0,0,7,3,0,2,-1,-1,0,0,0,0,0,1,4,0,-1,4,0,-1,60,0,-1,0,1,0,1,0,0,1,7.0,-1,4,-1,-1,-1,-1,0,1,0,-1,-1,-1,-1,-1,-1,1,9.0,1,4,-1,1,4,-1,-1,5,0,-1,-1,-1,-1,2,0,0,33.0,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27000.07
3891692,0,13,14,15,2022,8,2,1100,0,0,0,2,21,0.08,5,1,6,4,0,2,7,3,0,1,-1,-1,0,0,0,-1,-1,0,7,14,3,2,0,-1,42,0,-1,0,1,25,1,5000,0,0,62.0,1,0,2,1,2,-1,0,0,0,-1,-1,-1,-1,0,0,0,51.0,1,0,1,1,6,-1,-1,5,0,-1,-1,-1,-1,0,0,-1,36.519301595962354,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21000.08
3895845,0,0,0,5,2022,8,6,0,0,0,0,3,6,0.22,2,0,6,1,1,0,7,3,2,1,-1,-1,0,0,1,-1,-1,0,4,0,-1,2,0,-1,30,0,-1,0,0,0,1,0,0,0,37.90904855092722,-1,2,-1,1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,0,35.0,1,0,1,1,-1,-1,-1,5,0,-1,-1,-1,-1,0,0,1,56.0,0,0,0,0,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,6000.22
3897928,0,0,0,18,2022,8,5,1700,0,2,0,2,26,3.21,0,0,5,9,2,2,1,6,1,2,-1,-1,1,0,0,-1,-1,0,2,0,2,4,10,0,64,0,-1,0,0,25,1,35000,1,0,56.0,0,2,-1,-1,-1,-1,0,14,0,-1,-1,-1,-1,0,0,1,29.0,0,2,-1,-1,-1,-1,-1,7,0,-1,-1,-1,-1,0,0,0,42.0,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,26003.21
3898170,0,0,0,8,2022,8,2,0,0,0,0,1,26,3.34,0,0,0,1,0,3,6,4,3,1,8,-1,2,0,1,-1,-1,1,1,0,2,4,0,-1,72,0,-1,0,0,25,1,35000,0,0,49.0,0,2,-1,1,10,-1,0,1,0,-1,-1,-1,-1,-1,0,-1,39.07914636195597,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,36.519301595962354,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,26003.34
3898252,0,0,0,10,2022,8,4,2200,0,0,0,2,26,1.6,0,0,6,1,1,0,7,3,2,1,-1,-1,2,0,1,-1,-1,1,1,0,2,5,0,-1,71,0,-1,0,0,35,1,33000,0,1,27.0,1,0,2,-1,-1,-1,-1,8,0,-1,-1,-1,-1,-1,-1,0,27.0,0,0,1,1,-1,-1,-1,5,0,-1,-1,-1,-1,0,0,0,34.0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,26001.6
3898308,0,0,0,24,2022,8,4,1700,0,3,0,2,26,2.14,0,0,0,2,0,1,7,3,2,3,-1,-1,1,0,0,-1,-1,0,1,0,2,4,0,-1,56,0,-1,0,0,35,1,34000,0,1,13.0,1,0,-1,-1,-1,-1,-1,3,0,-1,-1,-1,-1,-1,-1,0,15.0,1,0,-1,0,-1,-1,1,5,0,-1,-1,-1,-1,0,0,1,48.0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,26002.14
3898309,0,0,0,25,2022,8,5,0,0,0,0,1,6,0.03,0,0,0,2,3,3,6,4,3,0,9,-1,6,0,7,1,-1,0,4,0,-1,2,0,-1,28,0,-1,0,0,0,0,0,0,0,37.90904855092722,-1,2,-1,-1,8,-1,-1,3,0,-1,-1,-1,-1,-1,-1,-1,39.07914636195597,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,36.519301595962354,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6000.03
3899034,0,1,1,18,2022,8,5,1700,0,0,0,2,3,1.42,0,0,4,1,0,0,4,2,0,1,-1,-1,0,0,0,-1,-1,0,3,1,2,2,0,-1,40,0,-1,0,0,35,1,12000,0,0,24.0,1,0,-1,-1,9,-1,-1,1,3,-1,-1,-1,-1,0,0,1,39.07914636195597,0,1,-1,-1,-1,-1,1,3,0,-1,-1,-1,-1,0,0,1,5.0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3001.42
3899078,0,1,1,4,2022,8,5,1400,0,0,0,2,3,248.09,0,0,7,0,2,5,8,3,1,1,-1,-1,1,0,0,-1,-1,0,3,1,2,2,0,-1,52,0,-1,0,0,35,1,16000,0,0,67.0,1,0,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,0,29.0,0,0,-1,-1,-1,-1,1,5,0,-1,-1,-1,-1,0,0,-1,36.519301595962354,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3248.09
3899162,0,1,1,26,2022,8,6,1700,0,0,0,2,3,246.97,0,0,7,1,1,0,8,2,2,1,-1,-1,1,0,0,-1,-1,0,3,1,2,2,0,-1,38,0,-1,0,2,25,1,7800,0,0,31.0,1,0,-1,1,2,-1,0,1,0,-1,-1,-1,-1,0,0,0,53.0,0,0,-1,1,-1,-1,-1,3,0,-1,-1,-1,-1,0,0,-1,36.519301595962354,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3246.97
3899165,0,1,1,25,2022,8,5,1500,0,1,0,2,3,0.91,0,0,3,1,2,7,4,3,0,3,-1,-1,1,0,0,-1,-1,0,3,1,2,2,0,-1,40,0,-1,0,0,35,1,15000,0,0,31.0,1,0,-1,-1,1,15,0,1,0,-1,-1,-1,-1,0,0,1,29.0,0,0,-1,-1,-1,-1,-1,14,0,-1,-1,-1,-1,0,0,0,65.0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3000.91
