Unnamed: 0,MEDCAUSE,COUNTY,CITY,ACC_DATE,ACCYR,MONTH,WEEKDAY,TIME,TOT_KILL,TOT_INJ,NO_PEDS,NUMVEHS,ROUTE_ID,MILEPOST,ST_FUNC,RUR_URB,V1CMPDIR,V1EVENT1,V1DIRCDE,ACCTYPE,V2CMPDIR,V2EVENT1,V2DIRCDE,SEVERITY,OBJECT1,OBJECT2,LOC_TYPE,RDSURF,LIGHT,LOC_CHAR,WKZONE,ALCFLAG,RODWYCLS,CITY_NAME,ACCESS_CONTROL,LANE_COUNT,MEDIAN_WIDTH,MEDIAN_BARRIER,ROAD_WIDTH,RIGHT_SHOULDER_WIDTH,LEFT_SHOULDER_SURFACE,LEFT_SHOULDER_WIDTH,SPECIAL_USE_LANE_ROAD_SIDE,SPEED_LIMIT,LANE_SURFACE_TYPE,TOTAL_AADT,DIVIDED_INDICATOR,SEATPOS_0,AGE_0,SEX_0,REST1_0,HELMET_0,DRASSESS_1,CONTRIB1_1,CONTRIB2_1,VEH_USE_1,DRV_ACTN_1,VEHCOND1_1,VEHCOND2_1,VEHCOND3_1,INTER_A_1,CMAXLES_1,DRAIRBAG_1,DRV_EJCT_1,SEATPOS_1,AGE_1,SEX_1,REST1_1,HELMET_1,DRASSESS_2,CONTRIB1_2,CONTRIB2_2,VEH_USE_2,DRV_ACTN_2,VEHCOND1_2,VEHCOND2_2,VEHCOND3_2,INTER_A_2,CMAXLES_2,DRAIRBAG_2,DRV_EJCT_2,SEATPOS_2,AGE_2,SEX_2,REST1_2,HELMET_2,DRASSESS_3,CONTRIB1_3,CONTRIB2_3,VEH_USE_3,DRV_ACTN_3,VEHCOND1_3,VEHCOND2_3,VEHCOND3_3,INTER_A_3,CMAXLES_3,DRAIRBAG_3,DRV_EJCT_3,ROUTE_MILEPOST
3847009,0,4,5,6,2022,1,5,2200,0,0,0,1,7,1.04,0,0,2,1,0,3,6,4,3,1,0,-1,2,2,1,-1,-1,0,1,5,3,3,0,-1,48,0,-1,0,0,30,1,14000,0,1,17.0,1,0,-1,-1,-1,-1,0,1,0,-1,-1,-1,-1,-1,-1,0,20.0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,36.519301595962354,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7001.04
3873764,0,11,-1,23,2022,1,1,600,0,0,0,2,19,237.49,5,1,2,1,1,4,4,3,0,1,-1,-1,0,1,3,-1,-1,0,7,-1,1,2,0,-1,24,2,-1,0,0,55,1,9300,0,0,19.0,0,0,-1,-1,11,5,-1,1,0,-1,-1,-1,-1,1,0,0,33.0,0,0,-1,-1,-1,-1,-1,5,0,-1,-1,-1,-1,0,0,-1,36.519301595962354,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19237.49
3878181,0,14,15,12,2022,1,4,2300,0,0,0,2,22,4.68,3,1,0,1,0,7,0,5,2,1,-1,-1,0,3,2,-1,-1,0,7,15,3,2,0,-1,24,6,-1,0,0,35,1,5100,0,0,37.90904855092722,-1,2,-1,1,4,-1,-1,1,0,-1,-1,-1,-1,-1,-1,0,39.07914636195597,-1,-1,-1,1,-1,-1,1,11,0,-1,-1,-1,-1,-1,-1,-1,36.519301595962354,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22004.68
3878183,0,14,16,30,2022,1,1,1800,0,0,0,2,22,2.68,3,1,0,1,2,7,5,3,0,1,-1,-1,1,2,2,-1,-1,0,7,16,3,2,0,-1,32,2,-1,0,0,25,1,5700,0,0,37.90904855092722,-1,2,-1,1,0,2,-1,3,-1,-1,-1,-1,-1,-1,-1,0,16.0,1,0,-1,1,-1,-1,1,5,0,-1,-1,-1,-1,0,0,-1,36.519301595962354,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22002.68
3878203,0,14,16,10,2022,1,2,1100,0,0,0,2,22,1.55,3,1,0,3,2,0,1,3,2,1,-1,-1,1,3,0,-1,-1,0,7,16,3,2,0,-1,68,0,-1,0,0,25,1,6400,0,0,68.0,0,2,-1,1,0,-1,-1,7,0,-1,-1,-1,-1,0,0,0,62.0,1,0,-1,1,-1,-1,-1,5,0,-1,-1,-1,-1,0,0,-1,36.519301595962354,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22001.55
3897719,0,0,0,30,2022,1,1,1700,0,1,0,1,6,0.11,0,0,6,1,4,8,1,3,0,2,-1,-1,1,1,5,-1,-1,0,4,0,-1,4,0,-1,60,0,-1,0,0,0,0,0,0,2,31.0,1,-1,2,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,18.0,1,0,-1,-1,-1,-1,-1,5,0,-1,-1,-1,-1,0,0,-1,36.519301595962354,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6000.11
3898558,0,0,0,30,2022,1,1,1900,1,0,1,1,2,1.36,0,0,1,1,1,8,7,3,1,5,-1,-1,0,1,1,-1,-1,0,1,0,1,6,0,-1,66,0,-1,0,2,30,1,38000,0,0,52.0,1,2,-1,0,-1,-1,-1,1,0,-1,-1,-1,-1,3,0,2,77.0,0,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,36.519301595962354,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2001.36
3898964,0,0,0,11,2022,1,3,1800,0,0,0,1,1,1.67,0,0,6,1,0,3,6,4,3,1,12,-1,0,0,1,5,-1,0,0,0,0,2,0,-1,32,0,-1,0,0,45,0,17000,0,0,27.0,0,2,-1,-1,4,-1,-1,0,4,-1,-1,-1,-1,1,0,-1,39.07914636195597,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,36.519301595962354,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1001.67
3899032,0,1,1,23,2022,1,1,100,0,0,0,1,29,0.29,2,0,7,3,1,3,6,4,3,0,8,-1,1,0,1,-1,-1,0,3,1,1,2,0,-1,24,4,-1,0,0,40,1,5900,0,0,37.90904855092722,-1,2,-1,-1,7,-1,-1,7,0,-1,-1,-1,-1,-1,-1,-1,39.07914636195597,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,36.519301595962354,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,29000.29
3899033,0,1,1,29,2022,1,7,1500,0,0,0,2,3,247.55,0,0,2,9,0,5,2,8,0,1,-1,-1,0,0,0,-1,-1,0,3,1,2,2,0,-1,52,0,-1,0,0,35,1,13000,0,0,32.0,1,0,-1,1,15,-1,0,14,0,-1,-1,-1,-1,0,0,0,16.0,0,0,-1,1,-1,-1,-1,13,0,-1,-1,-1,-1,0,0,-1,36.519301595962354,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3247.55
