Unnamed: 0,MEDCAUSE,COUNTY,CITY,ACC_DATE,ACCYR,MONTH,WEEKDAY,TIME,TOT_KILL,TOT_INJ,NO_PEDS,NUMVEHS,ROUTE_ID,MILEPOST,ST_FUNC,RUR_URB,V1CMPDIR,V1EVENT1,V1DIRCDE,ACCTYPE,V2CMPDIR,V2EVENT1,V2DIRCDE,SEVERITY,OBJECT1,OBJECT2,LOC_TYPE,RDSURF,LIGHT,LOC_CHAR,WKZONE,ALCFLAG,RODWYCLS,CITY_NAME,ACCESS_CONTROL,LANE_COUNT,MEDIAN_WIDTH,MEDIAN_BARRIER,ROAD_WIDTH,RIGHT_SHOULDER_WIDTH,LEFT_SHOULDER_SURFACE,LEFT_SHOULDER_WIDTH,SPECIAL_USE_LANE_ROAD_SIDE,SPEED_LIMIT,LANE_SURFACE_TYPE,TOTAL_AADT,DIVIDED_INDICATOR,SEATPOS_0,AGE_0,SEX_0,REST1_0,HELMET_0,DRASSESS_1,CONTRIB1_1,CONTRIB2_1,VEH_USE_1,DRV_ACTN_1,VEHCOND1_1,VEHCOND2_1,VEHCOND3_1,INTER_A_1,CMAXLES_1,DRAIRBAG_1,DRV_EJCT_1,SEATPOS_1,AGE_1,SEX_1,REST1_1,HELMET_1,DRASSESS_2,CONTRIB1_2,CONTRIB2_2,VEH_USE_2,DRV_ACTN_2,VEHCOND1_2,VEHCOND2_2,VEHCOND3_2,INTER_A_2,CMAXLES_2,DRAIRBAG_2,DRV_EJCT_2,SEATPOS_2,AGE_2,SEX_2,REST1_2,HELMET_2,DRASSESS_3,CONTRIB1_3,CONTRIB2_3,VEH_USE_3,DRV_ACTN_3,VEHCOND1_3,VEHCOND2_3,VEHCOND3_3,INTER_A_3,CMAXLES_3,DRAIRBAG_3,DRV_EJCT_3,ROUTE_MILEPOST
3842184,0,2,3,24,2022,10,2,800,0,2,0,2,5,0.32,2,0,1,1,1,0,5,2,2,2,-1,-1,2,1,0,-1,-1,0,1,3,1,4,0,-1,64,0,-1,0,1,35,1,35000,0,0,37.90904855092722,-1,2,-1,-1,5,1,-1,1,-1,-1,-1,-1,-1,3,1,1,70.0,1,3,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,0,63.0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5000.32
3843546,0,3,4,20,2022,10,5,1300,0,1,0,2,6,0.16,3,1,1,1,1,2,5,3,2,2,-1,-1,3,0,0,-1,-1,0,4,4,-1,3,15,0,45,0,-1,0,0,0,0,0,1,0,72.0,0,0,-1,1,4,-1,0,1,0,-1,-1,-1,-1,0,0,1,47.0,0,0,-1,1,0,-1,2,5,0,-1,-1,0,0,1,0,1,68.0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6000.16
3859014,0,0,-1,24,2022,10,2,1800,0,0,0,2,13,12.69,4,1,5,2,2,4,0,3,0,1,-1,-1,3,1,2,-1,-1,0,6,-1,4,4,0,-1,48,0,-1,0,0,50,1,13000,0,1,2.0,0,3,-1,-1,-1,-1,-1,3,0,-1,-1,-1,-1,-1,-1,0,21.0,1,2,-1,-1,-1,-1,-1,5,0,-1,-1,0,1,-1,-1,0,36.0,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13012.69
3859015,0,0,8,29,2022,10,7,1500,0,1,0,3,4,23.61,1,0,6,1,1,0,7,3,2,2,-1,-1,0,0,0,-1,-1,0,5,8,0,4,16,-1,52,0,0,0,3,60,0,108000,1,0,64.0,0,0,-1,-1,2,-1,-1,1,0,-1,-1,-1,-1,4,0,0,53.0,0,0,-1,-1,-1,-1,1,4,0,-1,-1,-1,-1,0,0,1,61.0,0,2,-1,-1,-1,-1,0,1,0,-1,-1,-1,-1,-1,-1,4023.61
3876103,0,4,5,29,2022,10,7,1000,0,0,0,2,7,1.04,0,0,2,1,0,0,2,1,0,1,-1,-1,1,0,0,-1,-1,0,1,5,3,3,0,-1,48,0,-1,0,0,30,1,14000,0,0,36.0,1,0,2,1,2,-1,-1,1,0,-1,-1,-1,-1,0,0,0,41.0,1,0,1,1,-1,-1,1,1,0,-1,-1,-1,-1,0,0,-1,36.519301595962354,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7001.04
3878197,0,14,16,18,2022,10,3,1500,0,0,0,2,22,1.92,3,1,5,1,1,0,1,2,2,1,-1,-1,6,0,0,-1,-1,0,7,16,3,2,0,-1,76,0,-1,0,0,25,1,7700,0,0,25.0,1,0,-1,-1,2,-1,-1,1,0,-1,-1,-1,-1,0,0,0,47.0,1,0,-1,-1,-1,-1,-1,3,0,-1,-1,-1,-1,0,0,-1,36.519301595962354,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22001.92
3894866,0,0,0,13,2022,10,5,1500,0,0,0,2,2,2.04,0,0,7,0,1,5,8,3,2,1,-1,1,0,0,0,-1,-1,0,2,0,1,4,14,0,68,0,-1,0,0,30,0,20000,1,0,35.0,0,0,-1,0,0,-1,0,0,0,-1,-1,-1,-1,0,0,0,17.0,0,0,-1,0,-1,-1,1,5,0,-1,-1,-1,-1,0,0,-1,36.519301595962354,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2002.04
3894879,0,0,0,1,2022,10,7,2000,0,0,0,2,26,2.66,0,0,3,2,0,1,8,3,2,1,-1,-1,1,0,1,-1,-1,0,1,0,2,4,0,-1,57,0,-1,0,1,35,1,36000,0,0,45.0,1,5,2,-1,6,-1,-1,3,0,-1,-1,-1,-1,0,0,0,57.0,1,5,1,-1,-1,-1,-1,5,0,-1,-1,-1,-1,0,0,1,29.0,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,26002.66
3894959,0,0,0,26,2022,10,4,700,0,0,0,2,26,1.44,0,0,0,1,0,10,6,4,3,1,-1,-1,0,0,0,-1,-1,1,1,0,2,4,0,-1,53,0,-1,0,2,35,1,33000,0,0,27.0,0,2,-1,1,10,-1,-1,1,0,-1,-1,-1,-1,1,0,0,39.07914636195597,-1,-1,-1,-1,-1,-1,-1,11,0,-1,-1,-1,-1,-1,-1,-1,36.519301595962354,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,26001.44
3902294,0,0,0,4,2022,10,3,1600,0,1,0,2,27,0.2,0,0,6,1,0,0,7,2,0,3,-1,-1,6,0,0,0,-1,0,4,0,-1,4,0,-1,49,0,-1,0,1,0,1,0,0,0,18.0,0,5,2,1,13,1,-1,1,0,-1,-1,-1,-1,0,0,0,45.0,0,5,1,1,-1,-1,-1,3,0,-1,-1,-1,-1,0,0,-1,36.519301595962354,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27000.2
3903255,0,4,19,31,2022,10,2,1800,0,1,1,1,32,34.46,2,0,1,1,1,8,1,3,3,3,-1,-1,1,0,1,-1,-1,0,1,19,3,4,0,-1,72,0,-1,0,0,30,1,11000,0,0,73.0,1,0,-1,1,-1,-1,0,3,0,-1,-1,-1,-1,0,0,2,12.0,0,-1,-1,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,36.519301595962354,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32034.46
