Unnamed: 0,MEDCAUSE,COUNTY,CITY,ACC_DATE,ACCYR,MONTH,WEEKDAY,TIME,TOT_KILL,TOT_INJ,NO_PEDS,NUMVEHS,ROUTE_ID,MILEPOST,ST_FUNC,RUR_URB,V1CMPDIR,V1EVENT1,V1DIRCDE,ACCTYPE,V2CMPDIR,V2EVENT1,V2DIRCDE,SEVERITY,OBJECT1,OBJECT2,LOC_TYPE,RDSURF,LIGHT,LOC_CHAR,WKZONE,ALCFLAG,RODWYCLS,CITY_NAME,ACCESS_CONTROL,LANE_COUNT,MEDIAN_WIDTH,MEDIAN_BARRIER,ROAD_WIDTH,RIGHT_SHOULDER_WIDTH,LEFT_SHOULDER_SURFACE,LEFT_SHOULDER_WIDTH,SPECIAL_USE_LANE_ROAD_SIDE,SPEED_LIMIT,LANE_SURFACE_TYPE,TOTAL_AADT,DIVIDED_INDICATOR,SEATPOS_0,AGE_0,SEX_0,REST1_0,HELMET_0,DRASSESS_1,CONTRIB1_1,CONTRIB2_1,VEH_USE_1,DRV_ACTN_1,VEHCOND1_1,VEHCOND2_1,VEHCOND3_1,INTER_A_1,CMAXLES_1,DRAIRBAG_1,DRV_EJCT_1,SEATPOS_1,AGE_1,SEX_1,REST1_1,HELMET_1,DRASSESS_2,CONTRIB1_2,CONTRIB2_2,VEH_USE_2,DRV_ACTN_2,VEHCOND1_2,VEHCOND2_2,VEHCOND3_2,INTER_A_2,CMAXLES_2,DRAIRBAG_2,DRV_EJCT_2,SEATPOS_2,AGE_2,SEX_2,REST1_2,HELMET_2,DRASSESS_3,CONTRIB1_3,CONTRIB2_3,VEH_USE_3,DRV_ACTN_3,VEHCOND1_3,VEHCOND2_3,VEHCOND3_3,INTER_A_3,CMAXLES_3,DRAIRBAG_3,DRV_EJCT_3,ROUTE_MILEPOST
3850650,0,5,6,5,2022,7,3,1600,0,0,0,3,9,5.34,0,0,5,1,0,5,7,1,1,1,-1,-1,1,0,0,-1,-1,0,1,6,0,4,0,-1,44,0,-1,0,0,25,1,15000,0,0,50.0,1,0,-1,1,4,-1,0,1,0,-1,-1,-1,-1,0,0,1,31.0,0,0,-1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,0,32.0,0,0,-1,0,-1,-1,0,0,0,-1,-1,-1,-1,0,0,9005.34
3880278,0,12,13,1,2022,7,6,1400,0,0,0,2,20,5.14,2,0,0,2,0,4,5,3,4,1,-1,-1,1,0,0,-1,-1,0,3,13,3,2,0,-1,44,0,-1,0,2,25,1,10000,0,0,75.0,1,0,-1,-1,1,-1,-1,3,-1,-1,-1,-1,-1,0,0,0,59.0,1,0,-1,-1,-1,-1,-1,5,0,-1,-1,-1,-1,0,0,-1,36.519301595962354,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20005.14
3880284,0,12,13,13,2022,7,4,700,0,1,1,1,20,5.03,2,0,6,1,1,8,1,3,3,3,-1,-1,0,0,0,-1,-1,0,3,13,3,2,0,-1,56,0,-1,0,0,25,1,9200,0,0,37.0,0,0,-1,1,-1,-1,-1,1,0,-1,-1,-1,-1,0,0,2,20.0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,36.519301595962354,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20005.03
3880285,0,12,13,14,2022,7,5,1600,0,0,0,2,20,5.04,2,0,0,4,0,2,0,3,0,1,-1,-1,0,0,0,-1,-1,0,3,13,3,2,0,-1,56,0,-1,0,0,25,1,9200,0,0,36.0,1,0,2,-1,6,-1,-1,0,3,-1,-1,-1,-1,0,0,0,43.0,0,0,1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,0,0,-1,36.519301595962354,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20005.04
3890851,0,0,0,13,2022,7,4,2100,0,1,1,1,27,0.12,0,0,2,1,0,8,5,3,3,3,-1,-1,2,0,1,-1,-1,0,4,0,-1,4,0,-1,76,0,-1,0,0,0,1,0,0,0,49.0,1,0,-1,2,7,-1,0,1,0,-1,-1,-1,-1,0,0,2,39.07914636195597,0,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,36.519301595962354,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27000.12
3891688,0,13,14,8,2022,7,6,1200,0,0,0,2,21,0.07,5,1,1,2,0,2,5,1,0,1,-1,-1,1,0,0,-1,-1,0,6,14,3,3,0,-1,48,0,-1,0,0,25,1,7300,0,0,47.0,1,0,2,1,-1,-1,0,3,0,-1,-1,-1,-1,0,0,0,39.0,1,0,1,1,3,-1,1,1,0,-1,-1,-1,-1,0,0,-1,36.519301595962354,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21000.07
3893911,0,0,0,10,2022,7,1,1900,0,0,0,3,26,3.23,0,0,7,1,1,2,8,3,2,1,-1,-1,0,0,0,-1,-1,0,2,0,2,4,10,0,64,0,-1,0,0,25,1,35000,1,0,30.0,0,0,-1,0,3,-1,0,1,0,-1,-1,-1,-1,0,0,0,45.0,1,0,-1,0,-1,-1,-1,5,0,-1,-1,-1,-1,0,0,0,36.519301595962354,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,26003.23
3893952,0,0,0,9,2022,7,7,1100,0,0,0,3,6,0.07,0,0,1,1,1,0,5,2,2,1,-1,-1,0,0,0,-1,-1,0,4,0,-1,4,0,-1,60,0,-1,0,0,0,0,0,0,0,24.0,1,0,-1,1,16,-1,-1,1,0,-1,-1,-1,-1,0,0,0,21.0,0,0,-1,1,-1,-1,-1,3,0,-1,-1,-1,-1,0,0,0,45.0,1,0,-1,0,-1,-1,0,2,0,-1,-1,-1,-1,0,0,6000.07
3893954,0,0,0,31,2022,7,1,600,0,0,0,1,26,0.7000000000000001,0,0,7,1,1,3,6,4,3,1,5,-1,2,0,3,-1,-1,0,1,0,2,4,0,-1,40,0,-1,0,0,35,1,33000,0,0,32.0,0,0,-1,1,4,-1,0,8,0,-1,-1,-1,-1,1,0,-1,39.07914636195597,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,36.519301595962354,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,26000.7
3898008,0,0,0,6,2022,7,4,2100,0,1,0,1,2,0.34,0,0,6,1,1,11,5,3,3,2,-1,-1,1,1,1,-1,-1,0,1,0,4,4,0,-1,69,0,-1,0,0,30,1,54000,0,0,37.90904855092722,-1,2,-1,-1,18,12,-1,1,-1,-1,-1,-1,-1,-1,-1,3,21.0,1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,36.519301595962354,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2000.34
3898009,0,0,0,28,2022,7,5,100,0,1,1,1,26,0.8200000000000001,0,0,7,1,1,8,7,3,1,4,-1,-1,0,0,1,-1,-1,0,1,0,2,4,0,-1,40,0,-1,0,0,35,1,33000,0,0,40.0,0,0,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,2,0,2,49.0,0,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,36.519301595962354,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,26000.82
3898136,0,0,0,18,2022,7,2,2200,0,1,0,4,2,1.52,0,0,1,1,1,2,5,3,2,2,-1,-1,2,0,1,-1,-1,0,1,0,1,5,0,-1,75,0,-1,0,0,30,1,38000,0,0,19.0,0,2,2,2,13,-1,-1,1,0,-1,-1,-1,-1,1,0,0,21.0,0,2,1,1,-1,-1,-1,5,0,-1,-1,-1,-1,0,0,1,22.0,1,2,0,0,-1,-1,0,5,0,-1,-1,-1,-1,1,0,2001.52
3898152,0,0,0,18,2022,7,2,700,0,0,0,2,2,2.1,0,0,5,2,2,1,8,3,2,1,-1,-1,1,0,0,-1,-1,0,1,0,1,4,0,-1,57,0,-1,0,2,30,0,20000,0,0,25.0,0,0,-1,-1,0,-1,0,3,0,-1,-1,-1,-1,0,0,0,41.0,0,0,-1,-1,-1,-1,1,5,0,-1,-1,-1,-1,5,0,-1,36.519301595962354,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2002.1
3898159,0,0,0,21,2022,7,5,1800,0,0,0,3,26,2.66,0,0,0,2,0,4,7,3,2,1,-1,-1,1,0,0,-1,-1,0,1,0,2,4,0,-1,57,0,-1,0,1,35,1,36000,0,0,33.0,0,0,2,1,1,-1,-1,3,0,-1,-1,-1,-1,0,0,0,19.0,0,0,1,1,8,-1,-1,5,0,-1,-1,-1,-1,5,0,1,19.0,0,0,0,0,-1,-1,0,6,0,-1,-1,-1,-1,2,0,26002.66
3899076,0,1,1,23,2022,7,7,1100,0,2,0,2,3,247.11,0,0,3,1,0,7,4,3,4,3,-1,-1,1,0,0,-1,-1,0,3,1,2,2,0,-1,50,0,-1,0,0,25,1,7800,0,0,22.0,0,2,-1,1,8,7,0,1,0,-1,-1,-1,-1,4,0,0,66.0,1,2,-1,1,-1,-1,-1,5,0,-1,-1,-1,-1,3,0,-1,36.519301595962354,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3247.11
3899077,0,1,1,18,2022,7,2,1700,0,0,0,2,3,246.4,0,0,0,2,3,4,1,3,0,1,-1,-1,5,0,0,-1,-1,0,3,1,2,2,0,-1,38,0,-1,0,2,25,1,11000,0,0,16.0,1,0,-1,-1,-1,-1,-1,3,0,-1,-1,-1,-1,0,0,1,9.0,0,1,-1,-1,-1,-1,1,5,0,-1,-1,-1,-1,-1,-1,0,39.0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3246.4
3899158,0,1,1,11,2022,7,2,1500,0,0,0,2,3,0.4,0,0,4,1,0,0,4,2,0,1,-1,-1,1,0,0,-1,-1,0,3,1,2,2,0,-1,40,0,-1,0,0,35,1,15000,0,0,84.0,0,0,-1,-1,2,-1,-1,1,3,-1,-1,-1,-1,0,0,0,41.0,1,0,-1,-1,-1,-1,1,2,0,-1,-1,-1,-1,0,0,-1,36.519301595962354,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3000.4
3899161,0,1,1,20,2022,7,4,1500,0,1,0,3,3,248.47,0,0,2,1,0,0,2,2,0,4,-1,-1,6,0,0,-1,-1,1,3,1,2,2,0,-1,52,0,-1,0,0,35,1,18000,0,0,52.0,1,2,-1,1,10,-1,-1,1,0,-1,-1,-1,-1,1,0,1,39.07914636195597,0,1,-1,-1,-1,-1,-1,3,0,-1,-1,-1,-1,-1,-1,0,28.0,1,2,-1,-1,-1,-1,-1,2,0,-1,-1,-1,-1,0,0,3248.47
3900202,0,0,0,18,2022,7,2,2300,0,1,0,3,28,0.65,0,0,6,1,3,5,7,3,4,4,-1,-1,2,0,1,-1,0,1,1,0,3,4,0,-1,61,0,-1,0,0,30,1,31000,0,0,34.0,1,0,-1,-1,10,8,-1,1,0,-1,-1,-1,-1,4,0,0,38.0,0,2,-1,-1,2,0,-1,5,0,-1,-1,-1,-1,-1,0,0,30.0,0,2,-1,-1,-1,-1,-1,7,0,-1,-1,-1,-1,0,0,28000.65
3903627,0,4,-1,12,2022,7,3,600,0,1,0,1,31,2.64,2,0,4,1,1,3,6,4,3,3,14,-1,0,0,3,-1,-1,0,3,-1,1,2,0,-1,22,6,-1,0,0,45,1,7700,0,0,54.0,0,0,-1,-1,7,-1,0,6,0,-1,-1,-1,-1,1,0,-1,39.07914636195597,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,36.519301595962354,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31002.64
3907631,0,1,1,16,2022,7,7,500,0,1,0,2,3,0.71,0,0,3,2,2,4,4,3,0,3,-1,-1,1,0,3,-1,-1,0,3,1,2,2,0,-1,40,0,-1,0,0,35,1,15000,0,0,46.0,1,2,2,1,0,2,-1,3,0,-1,-1,-1,-1,0,0,0,20.0,0,0,1,1,-1,-1,1,5,0,-1,-1,-1,-1,5,0,-1,36.519301595962354,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3000.71
