Unnamed: 0,MEDCAUSE,COUNTY,CITY,ACC_DATE,ACCYR,MONTH,WEEKDAY,TIME,TOT_KILL,TOT_INJ,NO_PEDS,NUMVEHS,ROUTE_ID,MILEPOST,ST_FUNC,RUR_URB,V1CMPDIR,V1EVENT1,V1DIRCDE,ACCTYPE,V2CMPDIR,V2EVENT1,V2DIRCDE,SEVERITY,OBJECT1,OBJECT2,LOC_TYPE,RDSURF,LIGHT,LOC_CHAR,WKZONE,ALCFLAG,RODWYCLS,CITY_NAME,ACCESS_CONTROL,LANE_COUNT,MEDIAN_WIDTH,MEDIAN_BARRIER,ROAD_WIDTH,RIGHT_SHOULDER_WIDTH,LEFT_SHOULDER_SURFACE,LEFT_SHOULDER_WIDTH,SPECIAL_USE_LANE_ROAD_SIDE,SPEED_LIMIT,LANE_SURFACE_TYPE,TOTAL_AADT,DIVIDED_INDICATOR,SEATPOS_0,AGE_0,SEX_0,REST1_0,HELMET_0,DRASSESS_1,CONTRIB1_1,CONTRIB2_1,VEH_USE_1,DRV_ACTN_1,VEHCOND1_1,VEHCOND2_1,VEHCOND3_1,INTER_A_1,CMAXLES_1,DRAIRBAG_1,DRV_EJCT_1,SEATPOS_1,AGE_1,SEX_1,REST1_1,HELMET_1,DRASSESS_2,CONTRIB1_2,CONTRIB2_2,VEH_USE_2,DRV_ACTN_2,VEHCOND1_2,VEHCOND2_2,VEHCOND3_2,INTER_A_2,CMAXLES_2,DRAIRBAG_2,DRV_EJCT_2,SEATPOS_2,AGE_2,SEX_2,REST1_2,HELMET_2,DRASSESS_3,CONTRIB1_3,CONTRIB2_3,VEH_USE_3,DRV_ACTN_3,VEHCOND1_3,VEHCOND2_3,VEHCOND3_3,INTER_A_3,CMAXLES_3,DRAIRBAG_3,DRV_EJCT_3,ROUTE_MILEPOST
3841151,0,0,2,8,2022,12,5,1900,0,0,0,2,4,0.31,1,0,3,1,0,0,3,3,0,1,-1,-1,0,1,1,1,-1,0,0,2,-1,1,0,-1,22,0,-1,0,0,0,0,0,0,0,37.90904855092722,-1,2,-1,1,4,-1,-1,1,0,-1,-1,-1,-1,3,1,0,27.0,1,0,-1,1,-1,-1,1,4,0,-1,-1,-1,-1,0,0,-1,36.519301595962354,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4000.31
3859023,0,0,9,4,2022,12,1,200,0,0,0,1,6,0.22,1,0,0,1,0,6,6,4,3,1,1,-1,0,1,2,-1,-1,0,0,9,-1,1,0,-1,14,8,1,4,0,0,1,0,0,0,21.0,1,0,-1,-1,-1,-1,-1,1,0,-1,-1,-1,-1,0,0,-1,39.07914636195597,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,36.519301595962354,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6000.22
3859024,0,0,8,6,2022,12,3,600,0,0,0,2,4,22.99,1,0,6,1,1,0,7,3,2,1,-1,-1,0,0,1,-1,-1,0,5,8,0,5,16,1,60,10,-1,0,3,60,1,142000,1,0,28.0,0,0,-1,-1,-1,-1,-1,1,0,-1,-1,-1,-1,0,0,0,54.0,0,0,-1,-1,1,-1,1,4,0,-1,-1,-1,-1,0,0,-1,36.519301595962354,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4022.99
3859025,0,0,0,6,2022,12,3,900,0,0,0,2,6,0.16,1,0,0,1,0,0,0,2,0,1,-1,-1,1,1,0,-1,-1,0,0,0,-1,1,0,-1,14,8,0,0,0,0,1,0,0,0,37.90904855092722,-1,2,-1,1,7,3,-1,1,0,-1,-1,-1,-1,-1,-1,0,23.0,0,0,-1,1,-1,-1,1,2,0,-1,-1,-1,-1,0,0,-1,36.519301595962354,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6000.16
3859185,0,6,-1,20,2022,12,3,700,0,0,0,2,14,9.19,5,1,2,1,1,2,4,5,0,1,-1,-1,0,2,0,-1,-1,0,6,-1,2,3,0,-1,36,0,-1,0,2,30,1,8400,0,0,40.0,0,0,-1,-1,3,-1,-1,1,0,-1,-1,-1,0,2,0,0,46.0,0,3,-1,-1,-1,-1,-1,6,0,-1,-1,-1,1,1,0,-1,36.519301595962354,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14009.19
3870841,0,9,11,23,2022,12,6,2000,0,0,0,2,3,58.49,5,1,3,1,0,1,4,3,4,1,-1,-1,7,1,5,-1,-1,0,9,11,5,2,15,2,70,0,-1,0,0,35,1,12000,1,0,21.0,0,0,-1,1,9,-1,-1,5,-1,0,-1,-1,-1,0,0,0,77.0,1,0,-1,1,3,-1,1,8,-1,-1,-1,-1,-1,0,0,1,44.0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3058.49
3876782,0,0,0,8,2022,12,5,1700,0,1,0,2,6,0.12,1,0,7,1,0,0,8,3,0,2,-1,-1,0,1,1,1,-1,0,0,0,-1,1,0,-1,21,0,0,0,0,0,0,0,0,0,34.0,1,0,-1,-1,-1,-1,-1,6,0,-1,-1,-1,-1,0,0,0,53.0,1,0,-1,-1,1,-1,-1,10,0,-1,-1,-1,-1,0,0,-1,36.519301595962354,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6000.12
3895103,0,0,0,3,2022,12,7,1400,0,1,1,1,2,2.8,0,0,7,2,1,8,3,3,3,4,-1,-1,1,1,0,-1,-1,0,1,0,1,4,0,-1,53,0,-1,0,2,30,0,16000,0,0,42.0,1,2,-1,-1,18,-1,0,3,0,-1,-1,-1,-1,0,0,2,71.0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,36.519301595962354,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2002.8
3895106,0,0,0,7,2022,12,4,1800,0,1,0,2,26,3.47,0,0,3,1,0,0,3,2,0,3,-1,-1,1,0,1,-1,1,0,1,0,2,4,0,-1,57,0,-1,0,0,30,1,35000,0,0,37.90904855092722,1,2,-1,-1,-1,-1,0,1,-1,-1,-1,-1,-1,-1,-1,0,26.0,1,0,-1,0,-1,-1,-1,2,0,-1,-1,-1,-1,0,0,-1,36.519301595962354,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,26003.47
3895114,0,0,0,15,2022,12,5,1800,0,0,0,2,2,1.49,0,0,1,1,1,0,5,2,2,1,-1,-1,0,0,1,-1,-1,0,1,0,1,5,0,-1,75,0,-1,0,0,30,1,38000,0,0,37.90904855092722,-1,2,-1,-1,2,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,38.0,0,0,-1,-1,-1,-1,1,3,-1,-1,-1,-1,-1,0,0,1,31.0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2001.49
